StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q6,Q16,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q10_1,Q20,Q20_3_TEXT,Q1,Q2,Q3,Q4,Q5,ImageShown
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How often do you fly per year?,"On average, how long is the duration of your typical flight?","Please rank the following factors in order of importance when choosing a flight, with 1 being the most important and 5 being the least important. - Lower price","Please rank the following factors in order of importance when choosing a flight, with 1 being the most important and 5 being the least important. - Direct route","Please rank the following factors in order of importance when choosing a flight, with 1 being the most important and 5 being the least important. - Airline","Please rank the following factors in order of importance when choosing a flight, with 1 being the most important and 5 being the least important. - More sustainable practices","Please rank the following factors in order of importance when choosing a flight, with 1 being the most important and 5 being the least important. - Free in-flight meals","Rank the following perks based on how willing you are to pay extra for them, with 1 being the perk you are most willing to pay for and higher numbers being less important. - Extra baggage","Rank the following perks based on how willing you are to pay extra for them, with 1 being the perk you are most willing to pay for and higher numbers being less important. - Priority boarding","Rank the following perks based on how willing you are to pay extra for them, with 1 being the perk you are most willing to pay for and higher numbers being less important. - More spacious seating","Rank the following perks based on how willing you are to pay extra for them, with 1 being the perk you are most willing to pay for and higher numbers being less important. - Faster security screening","Rank the following perks based on how willing you are to pay extra for them, with 1 being the perk you are most willing to pay for and higher numbers being less important. - Sustainability practices",Please indicate how much you agree or disagree with each statement. - I consider ethical and environmental factors when making everyday purchasing decisions.,"Please indicate how much you agree or disagree with each statement. - I make an effort to reduce waste, such as limiting single-use plastics or minimizing unnecessary travel.",Please indicate how much you agree or disagree with each statement. - I am willing to pay more for services that are environmentally friendly.,Please indicate how much you agree or disagree with each statement. - I avoid companies that are known for environmentally harmful practices.,Please indicate how much you agree or disagree with each statement. - I believe businesses should take more responsibility for reducing their environmental impact.,Please indicate how much you agree or disagree with each statement. - I make an effort to support brands that align with my ethical values.,Please indicate how much you agree or disagree with each statement. - I consider ethical factors when deciding which businesses to support.,Please indicate how much you agree or disagree with each statement. - I am willing to change my purchasing habits to support ethical or sustainable businesses.,Please indicate how much you agree or disagree with each statement. - I believe that ethical consumer choices can make a real impact on social and environmental issues.,Please indicate how much you agree or disagree with each statement. - I agree with behavioral nudges (such as labeling or incentives) to encourage more ethical and sustainable choices.,"If the Horizon flight serves as a baseline, how much more, if anything, would you be willing to pay for a flight with lower emissions? - I would pay...",Which country are you from - Selected Choice,Which country are you from - Other: - Text,What is your gender?,What is your age?,What is your current education level?,What is your current work status?,What is your current household income?,ImageShown
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID20""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_3_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""ImageShown""}"
12/02/25 20:45,12/02/25 20:47,Survey Preview,,100,104,TRUE,12/02/25 20:47,R_2iQ25rKhIPPikzl,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
12/02/25 20:51,12/02/25 20:58,Survey Preview,,100,450,TRUE,12/02/25 20:58,R_2pYPmc7fdl26Jbz,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
12/02/25 21:23,12/02/25 21:24,Survey Preview,,100,106,TRUE,12/02/25 21:24,R_2yjb7R2hX9LCP0s,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
12/02/25 21:26,12/02/25 21:27,Survey Preview,,100,35,TRUE,12/02/25 21:27,R_2YsUFrI5BgIisUH,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
12/02/25 21:33,12/02/25 21:33,Survey Preview,,100,13,TRUE,12/02/25 21:33,R_2fZbXUsytQYJdtr,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
12/02/25 22:53,12/02/25 22:54,Survey Preview,,100,70,TRUE,12/02/25 22:54,R_2bK5tz3BM9hX9kb,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
12/02/25 22:59,12/02/25 23:00,Survey Preview,,100,73,TRUE,12/02/25 23:00,R_23antySmh8IysIQ,,,,,38.7219,-9.1398,preview,EN,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
13/02/25 07:14,13/02/25 07:18,Survey Preview,,100,230,TRUE,13/02/25 07:18,R_27OmEt9JK1X0Tip,,,,,38.9816,-9.0734,preview,EN,2-5 times a year,2-4 hours,2,1,3,4,5,1,2,3,5,4,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
13/02/25 07:34,13/02/25 07:35,Survey Preview,,100,66,TRUE,13/02/25 07:35,R_2rIzhLX6stn6gwV,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
13/02/25 11:05,13/02/25 11:05,Survey Preview,,100,39,TRUE,13/02/25 11:05,R_8Jk4RLLEXBdtqw3,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
13/02/25 11:17,13/02/25 11:17,Survey Preview,,100,31,TRUE,13/02/25 11:17,R_8mlKGIJX2yFNokY,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
13/02/25 15:30,13/02/25 15:34,Survey Preview,,100,220,TRUE,13/02/25 15:34,R_2R3Y7kkcZMDdKe1,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_mKxCTWQLSh1Vp3a
13/02/25 16:52,13/02/25 16:52,IP Address,81.84.180.37,100,21,TRUE,13/02/25 16:52,R_8dsXGLGd1RFRFli,,,,,38.7219,-9.1398,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
13/02/25 17:45,13/02/25 17:53,IP Address,158.162.210.96,100,501,TRUE,13/02/25 17:53,R_2dFtbo4ottNXnXj,,,,,38.7219,-9.1398,anonymous,EN,More than 10 times a year,2-4 hours,2,1,3,5,4,2,3,1,4,5,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,20,Germany,,Male,25-34,Masters or equivalent,Student,1500 euros to 4999 euros per month,https://ucpresearch.qualtrics.com/ControlPanel/Graphic.php?IM=IM_R8NHchT9azFrz13
